book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
281,32499,32499,490324,145,385339704,9780385339700.0,John Grisham,1992.0,The Pelican Brief,The Pelican Brief,eng,3.95,288376,296168,2006,2362,12423,73587,116438,91358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
297,135479,135479,1621115,155,140285601,9780140285600.0,Kurt Vonnegut Jr.,1963.0,Cat's Cradle,Cat's Cradle,eng,4.18,238940,274153,8050,2701,8491,43680,102441,116840,https://images.gr-assets.com/books/1327867150m/135479.jpg,https://images.gr-assets.com/books/1327867150s/135479.jpg
304,227711,227711,1191096,52,60987561,9780060987560.0,Wally Lamb,1998.0,I Know This Much Is True ,I Know This Much Is True,eng,4.17,246917,257608,7775,4430,9972,39899,86909,116398,https://images.gr-assets.com/books/1373532198m/227711.jpg,https://images.gr-assets.com/books/1373532198s/227711.jpg
305,10583,33124137,150017,198,1416524347,9781416524340.0,Stephen King,1983.0,Pet Sematary,Pet Sematary,eng,3.91,256383,293753,5430,4584,17315,73475,102744,95635,https://images.gr-assets.com/books/1308894674m/10583.jpg,https://images.gr-assets.com/books/1308894674s/10583.jpg
306,5203,5203,1003370,61,671021001,9780671021010.0,Wally Lamb,1992.0,She's Come Undone,She's Come Undone,en-US,3.84,259576,268924,9090,10224,20064,59412,91423,87801,https://images.gr-assets.com/books/1408313457m/5203.jpg,https://images.gr-assets.com/books/1408313457s/5203.jpg
310,14748,14748,2796838,71,743418174,9780743418170.0,Jennifer Weiner,2001.0,Good in Bed,"Good in Bed (Cannie Shapiro, #1)",en-US,3.7,248804,252305,5500,12137,20336,66587,84488,68757,https://images.gr-assets.com/books/1327936464m/14748.jpg,https://images.gr-assets.com/books/1327936464s/14748.jpg
322,14497,14497,16534,152,60557818,9780060557810.0,Neil Gaiman,1996.0,Neverwhere,Neverwhere,eng,4.18,268318,301740,15680,3126,9628,46996,113506,128484,https://images.gr-assets.com/books/1348747943m/14497.jpg,https://images.gr-assets.com/books/1348747943s/14497.jpg
325,4473,4473,1734019,138,552135399,9780552135400.0,John Irving,1989.0,A Prayer for Owen Meany,A Prayer for Owen Meany,eng,4.22,226964,246452,11197,4679,9761,33669,76223,122120,https://images.gr-assets.com/books/1260470010m/4473.jpg,https://images.gr-assets.com/books/1260470010s/4473.jpg
328,14866,14866,3375915,84,743496728,9780743496730.0,Jodi Picoult,2007.0,Nineteen Minutes,Nineteen Minutes,eng,4.1,235978,251693,14004,2852,9629,46237,94104,98871,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
331,10916,10916,3349846,76,61150142,9780061150140.0,Jodi Picoult,1998.0,The Pact,The Pact,en-US,4.0,221225,235359,9257,3586,11789,50494,85430,84060,https://images.gr-assets.com/books/1410754561m/10916.jpg,https://images.gr-assets.com/books/1410754561s/10916.jpg
336,13137,13137,1711194,107,446696617,9780446696620.0,James Patterson,2001.0,1st To Die,"1st to Die (Women's Murder Club, #1)",en-US,4.05,233984,242428,5039,4464,10087,48616,83796,95465,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
343,24192,24192,1022176,120,385339690,9780385339700.0,John Grisham,1996.0,The Runaway Jury,The Runaway Jury,eng,3.96,222712,226861,1700,1613,8950,56426,90284,69588,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
344,4138,4138,2086690,54,316777730,9780316777740.0,David Sedaris,1997.0,Naked,Naked,en-US,4.08,201337,204766,5096,2631,7051,37023,81934,76127,https://images.gr-assets.com/books/1394178867m/4138.jpg,https://images.gr-assets.com/books/1394178867s/4138.jpg
349,11590,11590,3048937,211,450031063,9780450031070.0,Stephen King,1975.0,Salem's Lot,'Salem's Lot,en-GB,3.99,228680,246360,6167,2713,11724,57171,89196,85556,https://images.gr-assets.com/books/1327891565m/11590.jpg,https://images.gr-assets.com/books/1327891565s/11590.jpg
359,16115612,16115612,21933087,135,159463176X,9781594631760.0,Khaled Hosseini,2012.0,And The Mountains Echoed,And the Mountains Echoed,eng,4.03,199326,229116,24084,2049,9146,45985,93953,77983,https://images.gr-assets.com/books/1358190204m/16115612.jpg,https://images.gr-assets.com/books/1358190204s/16115612.jpg
372,10176,10176,2582035,55,965904830,9780965904830.0,David Sedaris,2004.0,Dress Your Family in Corduroy and Denim,Dress Your Family in Corduroy and Denim,eng,4.08,191923,204247,5776,2483,6620,37230,82749,75165,https://images.gr-assets.com/books/1352983006m/10176.jpg,https://images.gr-assets.com/books/1352983006s/10176.jpg
377,16793,16793,3166179,207,61142026,9780061142020.0,Neil Gaiman,1999.0,Stardust,Stardust,eng,4.07,237602,277184,13731,2959,10183,52599,109208,102235,https://images.gr-assets.com/books/1459127484m/16793.jpg,https://images.gr-assets.com/books/1459127484s/16793.jpg
402,391729,391729,1383053,12,553212281,9780553212280.0,Edgar Allan Poe,1843.0,The Tell-Tale Heart,The Tell-Tale Heart and Other Writings,en-GB,4.15,195689,197636,1050,2456,6438,33803,70786,84153,https://images.gr-assets.com/books/1327936583m/391729.jpg,https://images.gr-assets.com/books/1327936583s/391729.jpg
405,4980,4980,2859378,112,385334206,9780385334200.0,Kurt Vonnegut Jr.,1973.0,Breakfast of Champions,Breakfast of Champions,eng,4.08,178154,187177,5265,2137,7189,34421,72558,70872,https://images.gr-assets.com/books/1327934446m/4980.jpg,https://images.gr-assets.com/books/1327934446s/4980.jpg
420,3478,3478,1622450,133,446676071,9780446676080.0,Nicholas Sparks,1998.0,Message in a Bottle,Message in a Bottle,en-US,3.95,185116,192001,3721,4500,11979,44190,59999,71333,https://images.gr-assets.com/books/1163789140m/3478.jpg,https://images.gr-assets.com/books/1163789140s/3478.jpg
438,6469165,6469165,6659752,68,141043768,9780141043760.0,Liane Moriarty,2009.0,What Alice Forgot,What Alice Forgot,eng,4.05,165704,205778,17382,1599,6071,38562,93941,65605,https://images.gr-assets.com/books/1377159022m/6469165.jpg,https://images.gr-assets.com/books/1377159022s/6469165.jpg
451,50398,50398,4039699,122,1593082649,9781593082640.0,"Jane Austen, Alfred MacAdam",1817.0,Northanger Abbey,Northanger Abbey,eng,3.8,205167,232299,8616,4132,15938,65157,84363,62709,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
463,5364,5364,2866304,141,385335970,9780385335970.0,Diana Gabaldon,1992.0,Dragonfly in Amber,"Dragonfly in Amber (Outlander, #2)",eng,4.31,178110,210989,12025,1200,4958,27491,70976,106364,https://images.gr-assets.com/books/1456114344m/5364.jpg,https://images.gr-assets.com/books/1456114344s/5364.jpg
465,14758,14758,964332,53,743495667,9780743495660.0,Jennifer Weiner,2002.0,In Her Shoes,In Her Shoes,,3.78,167400,174338,2513,3345,11596,50482,64358,44557,https://images.gr-assets.com/books/1435252471m/14758.jpg,https://images.gr-assets.com/books/1435252471s/14758.jpg
471,45032,45032,2722329,1208,141439807,9780141439810.0,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814.0,Mansfield Park,Mansfield Park,eng,3.84,205064,224467,7046,4183,14784,59163,82001,64336,https://images.gr-assets.com/books/1397063295m/45032.jpg,https://images.gr-assets.com/books/1397063295s/45032.jpg
476,7069,7069,1028204,165,345915593,9780345915600.0,John Irving,1978.0,The World According to Garp,The World According to Garp,eng,4.07,167106,179078,4569,3098,7716,31528,67942,68794,https://images.gr-assets.com/books/1447234581m/7069.jpg,https://images.gr-assets.com/books/1447234581s/7069.jpg
484,29059,29059,3185242,84,385720920,9780385720920.0,Chuck Palahniuk,2001.0,Choke,Choke,eng,3.69,154643,162963,5328,4541,13841,46314,60868,37399,https://images.gr-assets.com/books/1403186013m/29059.jpg,https://images.gr-assets.com/books/1403186013s/29059.jpg
488,11566,11566,15599,162,451933028,9780451933030.0,Stephen King,1996.0,The Green Mile,The Green Mile,eng,4.42,173950,191109,4873,725,3044,19770,59813,107757,https://images.gr-assets.com/books/1373903563m/11566.jpg,https://images.gr-assets.com/books/1373903563s/11566.jpg
511,6534,6534,1045067,129,743477154,9780743477150.0,Patricia Cornwell,1990.0,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,"Postmortem (Kay Scarpetta, #1)",eng,4.01,167379,173045,2261,2760,6662,37396,66098,60129,https://images.gr-assets.com/books/1341835831m/6534.jpg,https://images.gr-assets.com/books/1341835831s/6534.jpg
512,23919,23919,30431,34,385074077,9780385074070.0,Edgar Allan Poe,1849.0,The Complete Tales of Edgar Allan Poe,The Complete Stories and Poems,en-US,4.37,160063,160326,1055,1247,2923,19028,49902,87226,https://images.gr-assets.com/books/1327942676m/23919.jpg,https://images.gr-assets.com/books/1327942676s/23919.jpg
515,16735,16735,1312477,80,553381547,9780553381540.0,Pat Conroy,1986.0,The Prince of Tides,The Prince of Tides,eng,4.22,159596,165367,3454,2169,5408,24359,55122,78309,https://images.gr-assets.com/books/1320541074m/16735.jpg,https://images.gr-assets.com/books/1320541074s/16735.jpg
521,79885,79885,1427801,123,739465511,9780739465520.0,Michael Connelly,2005.0,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng,4.14,149438,160724,4757,1136,3767,27768,67204,60849,https://images.gr-assets.com/books/1370140049m/79885.jpg,https://images.gr-assets.com/books/1370140049s/79885.jpg
534,1044355,1044355,3255908,47,316143472,9780316143480.0,David Sedaris,2008.0,When You Are Engulfed in Flames,When You Are Engulfed in Flames,en-US,4.04,150898,156976,9013,1847,5695,30933,63930,54571,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
539,15717943,15717943,21389085,53,1301949825,9781301949820.0,Colleen Hoover,2012.0,Hopeless,"Hopeless (Hopeless, #1)",eng,4.34,189938,207777,18984,3520,6597,23251,56888,117521,https://images.gr-assets.com/books/1353489892m/15717943.jpg,https://images.gr-assets.com/books/1353489892s/15717943.jpg
541,51737,51737,1032900,45,142406252,9780142406250.0,Sarah Dessen,2004.0,The Truth About Forever,The Truth About Forever,en-US,4.13,179415,183697,7421,2686,7512,33156,59958,80385,https://images.gr-assets.com/books/1362767907m/51737.jpg,https://images.gr-assets.com/books/1362767907s/51737.jpg
552,3462,3462,1268663,93,446696129,9780446696130.0,Nicholas Sparks,2000.0,The Rescue,The Rescue,en-US,4.1,142092,148370,3261,1692,5815,30135,49684,61044,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
553,107291,107291,1812101,135,045057458X,9780450574580.0,Stephen King,1991.0,Needful Things,Needful Things,,3.87,153821,161758,2448,2175,10254,42898,57042,49389,https://images.gr-assets.com/books/1315767817m/107291.jpg,https://images.gr-assets.com/books/1315767817s/107291.jpg
554,10987,10987,1131570,105,385335997,9780385336000.0,Diana Gabaldon,1993.0,Voyager,"Voyager (Outlander, #3)",eng,4.38,157395,184208,8381,827,3030,21397,59170,99784,https://images.gr-assets.com/books/1483278195m/10987.jpg,https://images.gr-assets.com/books/1483278195s/10987.jpg
556,10603,10603,996156,143,307348245,9780307348240.0,Stephen King,1981.0,Cujo,Cujo,spa,3.65,158215,167044,2832,4096,16130,54393,52708,39717,https://images.gr-assets.com/books/1394208144m/10603.jpg,https://images.gr-assets.com/books/1394208144s/10603.jpg
571,15925,15925,810630,88,446696110,9780446696110.0,Nicholas Sparks,2003.0,The Guardian,The Guardian,en-US,4.14,136427,142884,4333,1867,5499,26372,45789,63357,https://images.gr-assets.com/books/1388195339m/15925.jpg,https://images.gr-assets.com/books/1388195339s/15925.jpg
572,46756,46756,3143431,109,385721676,9780385721680.0,Margaret Atwood,2003.0,Oryx and Crake,"Oryx and Crake (MaddAddam, #1)",eng,4.0,151500,167177,10391,3548,8557,31794,64097,59181,https://images.gr-assets.com/books/1494109986m/46756.jpg,https://images.gr-assets.com/books/1494109986s/46756.jpg
578,10629,10629,1150571,156,2253147699,9782253147700.0,"Stephen King, Marie Milpois",1983.0,Christine,Christine,fre,3.72,151160,157664,2092,3156,14024,48479,49499,42506,https://images.gr-assets.com/books/1327270815m/10629.jpg,https://images.gr-assets.com/books/1327270815s/10629.jpg
596,5349,5349,3154548,117,385339607,9780385339600.0,John Grisham,1995.0,The Rainmaker,The Rainmaker,eng,3.91,137412,142791,1518,986,6288,38331,55983,41203,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
615,22205,22205,132402,42,142501557,9780142501560.0,Sarah Dessen,2002.0,This Lullaby,This Lullaby,eng,4.03,151829,155107,4597,2714,8175,32346,49750,62122,https://images.gr-assets.com/books/1397779294m/22205.jpg,https://images.gr-assets.com/books/1397779294s/22205.jpg
622,15926,15926,943470,115,446612707,9780553813950.0,Nicholas Sparks,2002.0,Nights in Rodanthe,Nights in Rodanthe,eng,3.82,129807,136507,4025,3102,10605,36852,42686,43262,https://images.gr-assets.com/books/1328145638m/15926.jpg,https://images.gr-assets.com/books/1328145638s/15926.jpg
623,18775247,18775247,26680281,111,1476754454,9781476754450.0,Stephen King,2014.0,Mr. Mercedes,"Mr. Mercedes (Bill Hodges Trilogy, #1)",eng,3.92,125847,148491,12447,3242,7332,32479,60965,44473,https://images.gr-assets.com/books/1468705326m/18775247.jpg,https://images.gr-assets.com/books/1468705326s/18775247.jpg
625,5166,5166,3221872,39,375706771,9780375706780.0,Chris Bohjalian,1997.0,Midwives,Midwives,en-US,3.97,133155,135534,3830,1317,5372,30829,57029,40987,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
634,12033455,12033455,16327730,86,385342063,9780385342060.0,Sophie Kinsella,2011.0,I've Got Your Number,I've Got Your Number,eng,3.93,144533,154513,10577,3523,8046,34351,58073,50520,https://images.gr-assets.com/books/1327956732m/12033455.jpg,https://images.gr-assets.com/books/1327956732s/12033455.jpg
644,13372690,30333938,18602144,60,,,Colleen Hoover,2012.0,Slammed,"Slammed (Slammed, #1)",eng,4.29,153882,176166,14423,2888,5837,22249,51947,93245,https://images.gr-assets.com/books/1328530463m/13372690.jpg,https://images.gr-assets.com/books/1328530463s/13372690.jpg
647,42149,42149,1488992,43,312348649,9780312348650.0,Emily Giffin,2006.0,Baby Proof,Baby Proof,en-US,3.71,124371,129325,3375,3042,10434,39728,44093,32028,https://images.gr-assets.com/books/1361466583m/42149.jpg,https://images.gr-assets.com/books/1361466583s/42149.jpg
660,7672,7672,688299,83,60541830,9780060541840.0,Michael Crichton,1980.0,Congo,Congo,eng,3.55,129811,134422,1587,2910,13893,48006,45059,24554,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
666,2744,2744,1007964,112,60515198,9780060515200.0,Neil Gaiman,2005.0,Anansi Boys,Anansi Boys,eng,4.0,137639,153465,7758,1219,5671,32195,66653,47727,https://images.gr-assets.com/books/1479778049m/2744.jpg,https://images.gr-assets.com/books/1479778049s/2744.jpg
667,5664985,5664985,5836517,41,670011940,9780670011940.0,Sarah Dessen,2009.0,Along for the Ride,Along for the Ride,eng,4.08,151721,156330,6238,2588,7073,30314,52171,64184,https://images.gr-assets.com/books/1479692098m/5664985.jpg,https://images.gr-assets.com/books/1479692098s/5664985.jpg
670,11573,11573,2745957,145,451155750,9780451155760.0,Stephen King,1979.0,The Dead Zone,The Dead Zone,en-US,3.9,132723,139386,2294,1371,7164,37094,52341,41416,https://images.gr-assets.com/books/1283509622m/11573.jpg,https://images.gr-assets.com/books/1283509622s/11573.jpg
674,7494,7494,141228,79,446611085,9780446611080.0,James Patterson,2001.0,Suzanne's Diary for Nicholas,Suzanne's Diary for Nicholas,eng,4.16,121398,124164,4255,2106,5364,21005,38213,57476,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
675,233667,233667,1803,154,451167805,9780451167800.0,Stephen King,1980.0,Firestarter,Firestarter,eng,3.85,142213,148131,1859,1589,9090,42672,51583,43197,https://images.gr-assets.com/books/1394208032m/233667.jpg,https://images.gr-assets.com/books/1394208032s/233667.jpg
683,3463,3463,1498124,105,446696137,9780446696140.0,Nicholas Sparks,2001.0,A Bend in the Road,A Bend in the Road,eng,4.02,116800,123173,3392,1452,5660,27409,42912,45740,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
686,3466,3466,1208014,85,446615862,9780446615860.0,Nicholas Sparks,2003.0,The Wedding,"The Wedding (The Notebook, #2)",en-US,3.98,118045,124358,5443,2102,7587,28194,39312,47163,https://images.gr-assets.com/books/1385738787m/3466.jpg,https://images.gr-assets.com/books/1385738787s/3466.jpg
692,1472878,1472878,1463850,61,312364083,9780312364080.0,Kristin Hannah,2008.0,Firefly Lane,"Firefly Lane (Firefly Lane, #1)",en-US,4.04,121966,131124,11137,2074,6448,25649,46852,50101,https://images.gr-assets.com/books/1362435448m/1472878.jpg,https://images.gr-assets.com/books/1362435448s/1472878.jpg
694,2120652,2120652,1470370,47,312348673,9780312348670.0,Emily Giffin,2008.0,Love the One You're With,Love the One You're With,en-US,3.7,124812,129614,4743,3289,10895,39052,44476,31902,https://images.gr-assets.com/books/1361466590m/2120652.jpg,https://images.gr-assets.com/books/1361466590s/2120652.jpg
695,18214414,18214414,25639104,109,316206873,9780316206880.0,"Robert Galbraith, J.K. Rowling",2014.0,The Silkworm,"The Silkworm (Cormoran Strike, #2)",eng,4.03,120008,145146,13549,1330,4361,27130,67680,44645,https://images.gr-assets.com/books/1392577290m/18214414.jpg,https://images.gr-assets.com/books/1392577290s/18214414.jpg
703,10589,10589,3254516,134,067102423X,9780671024240.0,Stephen King,1998.0,Bag of Bones,Bag of Bones,en-US,3.87,131004,137867,3087,2377,9330,35689,46716,43755,https://images.gr-assets.com/books/1365592796m/10589.jpg,https://images.gr-assets.com/books/1365592796s/10589.jpg
705,10605,10605,2791999,132,451190750,9780451190760.0,"Richard Bachman, Stephen King",1984.0,Thinner,Thinner,en-GB,3.66,130219,136473,1641,2810,13288,44786,41617,33972,https://images.gr-assets.com/books/1346947063m/10605.jpg,https://images.gr-assets.com/books/1346947063s/10605.jpg
709,4009,4009,1839377,155,316767727,9780316767730.0,J.D. Salinger,1953.0,Nine Stories,Nine Stories,eng,4.19,105138,117297,3423,1416,3591,18615,41479,52196,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
712,10988,10988,3123704,96,385335989,9780385335980.0,Diana Gabaldon,1996.0,"Drums of Autumn (Outlander, #4)","Drums of Autumn (Outlander, #4)",eng,4.34,123736,145728,5743,584,2679,18529,48756,75180,https://images.gr-assets.com/books/1500688941m/10988.jpg,https://images.gr-assets.com/books/1500688941s/10988.jpg
716,531350,25402194,2416287,101,446579920,9780446579930.0,Nicholas Sparks,2007.0,The Choice,The Choice,en-US,3.99,93479,128525,6808,2160,7288,28349,42867,47861,https://images.gr-assets.com/books/1385739133m/531350.jpg,https://images.gr-assets.com/books/1385739133s/531350.jpg
730,5308,5308,195832,233,142000698,9780142000690.0,John Steinbeck,1947.0,The Pearl of the World,The Pearl,eng,3.41,133264,145891,6121,8757,18361,48458,45467,24848,https://images.gr-assets.com/books/1437234939m/5308.jpg,https://images.gr-assets.com/books/1437234939s/5308.jpg
739,39662,39662,2248680,132,751514624,9780751514630.0,Stephen King,1982.0,Different Seasons,Different Seasons,eng,4.34,105961,138206,3148,435,2223,17523,48177,69848,https://images.gr-assets.com/books/1329662611m/39662.jpg,https://images.gr-assets.com/books/1329662611s/39662.jpg
749,15753740,15753740,21449403,62,1439102767,9781439102760.0,Jodi Picoult,2013.0,The Storyteller,The Storyteller,eng,4.26,109313,125264,13923,1206,3199,15490,47104,58265,https://images.gr-assets.com/books/1356328634m/15753740.jpg,https://images.gr-assets.com/books/1356328634s/15753740.jpg
759,8709527,8709527,13582374,37,1595143173,9781595143170.0,Richelle Mead,2011.0,Bloodlines,"Bloodlines (Bloodlines, #1)",en-US,4.22,140599,146134,7698,3103,4901,21147,45060,71923,https://images.gr-assets.com/books/1297199431m/8709527.jpg,https://images.gr-assets.com/books/1297199431s/8709527.jpg
773,47021,47021,3152341,689,074347757X,9780743477570.0,William Shakespeare,1593.0,The Taming of the Shrew,The Taming of the Shrew,en-US,3.81,126318,134240,2370,2869,9611,35666,47453,38641,https://images.gr-assets.com/books/1327935253m/47021.jpg,https://images.gr-assets.com/books/1327935253s/47021.jpg
777,227941,227941,3341834,40,767905180,9780767905180.0,Jane Green,2001.0,Jemima J,Jemima J,en-US,3.62,101436,103849,2448,8909,9304,24965,29819,30852,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
784,10929,10929,3125926,83,1401303277,9781401303270.0,Mitch Albom,2006.0,For One More Day,For One More Day,en-US,4.09,102193,106720,6632,958,4221,21064,38962,41515,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
786,30120,30120,2501867,24,60513098,9780060513090.0,Shel Silverstein,1996.0,Falling Up,Falling Up,en-US,4.33,111779,114990,1281,1209,2879,15625,32073,63204,https://images.gr-assets.com/books/1327871908m/30120.jpg,https://images.gr-assets.com/books/1327871908s/30120.jpg
791,6614960,6614960,6809039,7,743296435,9780743296430.0,Jodi Picoult,2010.0,House Rules,House Rules,en-US,4.01,111239,119767,9871,1155,5434,25143,47540,40495,https://images.gr-assets.com/books/1290479868m/6614960.jpg,https://images.gr-assets.com/books/1290479868s/6614960.jpg
794,16130549,16130549,17851499,116,1476727651,9781476727650.0,Stephen King,2013.0,Doctor Sleep,"Doctor Sleep (The Shining, #2)",eng,4.1,95276,116565,13654,1117,4071,19995,48181,43201,https://images.gr-assets.com/books/1362415596m/16130549.jpg,https://images.gr-assets.com/books/1362415596s/16130549.jpg
799,32423,32423,2200683,99,,9780425188800.0,Dean Koontz,1987.0,Watchers,Watchers,,4.16,109595,113984,2687,1253,3766,20833,38155,49977,https://images.gr-assets.com/books/1308458930m/32423.jpg,https://images.gr-assets.com/books/1308458930s/32423.jpg
804,12985,12985,1359590,956,743482832,9780743482840.0,William Shakespeare,1623.0,The Tempest,The Tempest,en-US,3.8,125178,135537,2831,2394,10084,37832,46984,38243,https://images.gr-assets.com/books/1327793692m/12985.jpg,https://images.gr-assets.com/books/1327793692s/12985.jpg
